control_id	index_id	locator	key	expected	file	sha256
FSTEC-LINUX-2022-2.1.1-LOCAL-ACCOUNT-PASSWORD-STATE	SRC-0001	2.1.1	password-field	True	fstec-linux-2022-2.1.1-local-account-password-state.yaml	82d8121586664ee803efec1f1b4bb93a248ce1f302bdf90a2561468ead86d802
FSTEC-LINUX-2022-2.1.2-SSH-ROOT-LOGIN	SRC-0002	2.1.2	PermitRootLogin	no	fstec-linux-2022-2.1.2-ssh-root-login.yaml	2f965f6e8901380f14088a167c77b07fc3b4c1872ac1f38865ba0a236a80b1de
FSTEC-LINUX-2022-2.2.1-SU-WHEEL-ACCESS	SRC-0003	2.2.1	policy	auth required pam_wheel.so use_uid;wheel:root	fstec-linux-2022-2.2.1-su-wheel-access.yaml	b92dfc6ad74dab81696a70bf79fd9a77e102d6e35f1122f1dc63a414c07c0d68
FSTEC-LINUX-2022-2.2.2-SUDOERS-REVIEWED-POLICY	SRC-0004	2.2.2	user-specs	root ALL=(ALL:ALL) ALL;%sudo ALL=(ALL:ALL) ALL;%admin ALL=(ALL) ALL	fstec-linux-2022-2.2.2-sudoers-reviewed-policy.yaml	7509b7d80d34eb317bf960351cd2fcecd7ed964bde6c293c7ee577f45b2189b0
FSTEC-LINUX-2022-2.3.1-GROUP-MODE	SRC-0005	2.3.1	mode	0644	fstec-linux-2022-2.3.1-group-mode.yaml	956008d60174d803f30d84131015702ef531ee9e0532b242f9a3a56d4bea0cb3
FSTEC-LINUX-2022-2.3.1-PASSWD-MODE	SRC-0005	2.3.1	mode	0644	fstec-linux-2022-2.3.1-passwd-mode.yaml	e642ca111817660456d8c2a9f205719d4f3274d56d0a3baba18e41788b05aa30
FSTEC-LINUX-2022-2.3.1-SHADOW-GO-RWX	SRC-0005	2.3.1	mode	0077	fstec-linux-2022-2.3.1-shadow-go-rwx.yaml	26ac697290ebc2ad421907d5baac22c879a5ef5b70b29bb92bd758aa1e7c5ff6
FSTEC-LINUX-2022-2.3.10-HOME-SENSITIVE-FILES-MODE	SRC-0014	2.3.10	mode	0077	fstec-linux-2022-2.3.10-home-sensitive-files-mode.yaml	92315eed6b9dcd24ed50b5da9127df3f577b292d97d28cc04ce90081e38f4839
FSTEC-LINUX-2022-2.3.11-HOME-DIRECTORIES-MODE	SRC-0015	2.3.11	mode	0700	fstec-linux-2022-2.3.11-home-directories-mode.yaml	5a3e3bfbf5a9607b5c51b59a71c5b39a7c1249d7212500cfa41a8f9f6372874c
FSTEC-LINUX-2022-2.3.2-RUNNING-PROCESS-PATHS-WRITE-PROTECTION	SRC-0006	2.3.2	write-protection	file-go-w;parent-unprivileged-write-denied	fstec-linux-2022-2.3.2-running-process-paths-write-protection.yaml	4c622265a9397061ef2edd2f99b6f90f78bf80aef8390f1cf129d8858daf76b3
