mapping_id	item_kind	donor_refs	donor_label	donor_binding_sha256	engineering_contract_refs	donor_test_contract_refs	donor_test_files	mandatory_capability_refs	decision	target_v3_family	rationale	normative_effect	closes_source_rows
MAP-FUNC-0001	FUNCTION	FUNC-0001	usage	b896d607b446f4d889a1d292efb9fea51bc4af6b8458a3c8327f9a4ae966dc5b		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0002	FUNCTION	FUNC-0002	log	be31ce33b47c53f895615da7124a8c4ae5ac676893ae0ac84ed6c2c66f466687		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0003	FUNCTION	FUNC-0003	log_debug	13c585071ccc8ea07b545619bc788ca13d8ff513020eb206c0fbe51363637d80		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0004	FUNCTION	FUNC-0004	die	225503d9ffe22a35f38525e10f96b2aacc90473d3c3536d003e68928181d53a2		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0005	FUNCTION	FUNC-0005	add_warning	3db8999a2fd83f8056ddaafd1481d21717373f8373a19229c652d10fdd05de6d		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0006	FUNCTION	FUNC-0006	add_restore_irreversible	9bb69d687157c2d2f826f388c9a27d7b064181e6db1c898eecf25cdda4e1bfab	ENG-016	TST-003,TST-004,TST-020		CAP-16	ADAPT	apply-foundation/external-recovery-classification	Adapt only as explicit classification/reporting of uncompensated changes that require external snapshot recovery; no RESTORE mode.	NONE	0
MAP-FUNC-0007	FUNCTION	FUNC-0007	add_error	6164fb99e415e135b0e996439d2d0df1d8bb079e72a745e32837e3a1195b79b5		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0008	FUNCTION	FUNC-0008	add_safe	a744841d94537b0823f0ca5a46f18b5e5e3172a97040e0edbf9f9c0abda5f147		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0009	FUNCTION	FUNC-0009	add_risky	7c17a4ce81d95cfcc13cf8d03d4204375eddfe5b87cc0f1145fa77ccc9f0b8c1		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0010	FUNCTION	FUNC-0010	add_skipped	d183b941f4d43e3d109925a0c8bdcd6767590ae7c65f72f7bb847fbf4b9381e9		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0011	FUNCTION	FUNC-0011	add_policy_gate	d2999bc7c6890187c47ad801f3eb6b3c8b138193186a9daa57ba2bec0701f0d2		TST-003,TST-004			ADAPT	runtime-cli-control-flow	Сохранить fail-closed/aggregate control-flow и machine-visible warnings/errors; не переносить donor policy labels как нормативную истину.	NONE	0
MAP-FUNC-0012	FUNCTION	FUNC-0012	validate_managed_file_hardlinks	55f67d03f7d4eb95858ef5d6f416300d00a4970ccd275bf5a39966eae8cee049		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-06	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0013	FUNCTION	FUNC-0013	backup_file_checked	bf82848c4791cf2423befd2ca2582729919f6f5238e54c545ffa91049ec6c26b	ENG-001	TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-06	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0014	FUNCTION	FUNC-0014	atomic_write_command_output	fd88b41475a84472327bfc2935fd49e2d01c0a75a88d20485d9c0d713e125208	ENG-002	TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-05	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0015	FUNCTION	FUNC-0015	acquire_run_lock	1144a66ef3b49c1ec3c52f9404a43cb59399343c7f56ba8fddd6566f04b52197	ENG-003	TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-12,CAP-13	ADAPT	apply-foundation/run-lock	Preserve only the exclusive non-blocking APPLY run-lock mechanism (flock -n 9); adapt lock path/lifecycle to the v3 APPLY contract.	NONE	0
MAP-FUNC-0016	FUNCTION	FUNC-0016	profile_allows	b3faa503980cf8321fde27ca566728d6781aafd034f97f9f1f8882b71df54046	ENG-018	TST-022		CAP-14	ADAPT	apply-foundation/policy-layer-gating	Preserve profile eligibility gating as policy-layer control; it is not a file/manifest transaction primitive.	NONE	0
MAP-FUNC-0017	FUNCTION	FUNC-0017	record_manifest_warning	00d2a8faef0088456210704efcc049bf9cd190d91380e83646355426c7c678a2		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0018	FUNCTION	FUNC-0018	record_manifest_modified_file	63e4c7309768f9ea8d953803cf6c9d16c81cb5d2f0b00e449223845f58e2d971		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0019	FUNCTION	FUNC-0019	record_manifest_modified_file_best_effort	f7dabb377f7d58a9538f70422a6436129323894781ec512a23e0dd30ff4aea8b		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0020	FUNCTION	FUNC-0020	record_manifest_backup	81008a533614a7b00552216e7235c124142eac0d316f0b1c96c7efa5fec768ef		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03,CAP-06,CAP-12	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0021	FUNCTION	FUNC-0021	remove_manifest_backup	fcfcd10056b93aa9516675ca213246f1c875f0d76f19750fc5ce629628d4dce9		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0022	FUNCTION	FUNC-0022	manifest_has_backup_for	7beea62b58f01aafc3a9c3fb8eb30a6c4a638596d2efbb0f82596c590d2ee100		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
