function_id	name	start_line	end_line	segment_sha256	adoption_class	adoption_note
FUNC-0001	usage	185	214	b896d607b446f4d889a1d292efb9fea51bc4af6b8458a3c8327f9a4ae966dc5b	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0002	log	215	225	be31ce33b47c53f895615da7124a8c4ae5ac676893ae0ac84ed6c2c66f466687	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0003	log_debug	226	232	13c585071ccc8ea07b545619bc788ca13d8ff513020eb206c0fbe51363637d80	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0004	die	233	237	225503d9ffe22a35f38525e10f96b2aacc90473d3c3536d003e68928181d53a2	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0005	add_warning	238	238	3db8999a2fd83f8056ddaafd1481d21717373f8373a19229c652d10fdd05de6d	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0006	add_restore_irreversible	239	241	9bb69d687157c2d2f826f388c9a27d7b064181e6db1c898eecf25cdda4e1bfab	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0007	add_error	242	242	6164fb99e415e135b0e996439d2d0df1d8bb079e72a745e32837e3a1195b79b5	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0008	add_safe	243	243	a744841d94537b0823f0ca5a46f18b5e5e3172a97040e0edbf9f9c0abda5f147	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0009	add_risky	244	244	7c17a4ce81d95cfcc13cf8d03d4204375eddfe5b87cc0f1145fa77ccc9f0b8c1	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0010	add_skipped	245	245	d183b941f4d43e3d109925a0c8bdcd6767590ae7c65f72f7bb847fbf4b9381e9	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0011	add_policy_gate	246	250	d2999bc7c6890187c47ad801f3eb6b3c8b138193186a9daa57ba2bec0701f0d2	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0012	validate_managed_file_hardlinks	251	300	55f67d03f7d4eb95858ef5d6f416300d00a4970ccd275bf5a39966eae8cee049	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0013	backup_file_checked	301	323	bf82848c4791cf2423befd2ca2582729919f6f5238e54c545ffa91049ec6c26b	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0014	atomic_write_command_output	324	602	fd88b41475a84472327bfc2935fd49e2d01c0a75a88d20485d9c0d713e125208	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0015	acquire_run_lock	603	616	1144a66ef3b49c1ec3c52f9404a43cb59399343c7f56ba8fddd6566f04b52197	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0016	profile_allows	617	633	b3faa503980cf8321fde27ca566728d6781aafd034f97f9f1f8882b71df54046	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0017	record_manifest_warning	634	661	00d2a8faef0088456210704efcc049bf9cd190d91380e83646355426c7c678a2	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0018	record_manifest_modified_file	662	691	63e4c7309768f9ea8d953803cf6c9d16c81cb5d2f0b00e449223845f58e2d971	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0019	record_manifest_modified_file_best_effort	692	704	f7dabb377f7d58a9538f70422a6436129323894781ec512a23e0dd30ff4aea8b	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0020	record_manifest_backup	705	798	81008a533614a7b00552216e7235c124142eac0d316f0b1c96c7efa5fec768ef	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0021	remove_manifest_backup	799	917	fcfcd10056b93aa9516675ca213246f1c875f0d76f19750fc5ce629628d4dce9	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0022	manifest_has_backup_for	918	930	7beea62b58f01aafc3a9c3fb8eb30a6c4a638596d2efbb0f82596c590d2ee100	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0023	update_manifest_created_file_state	931	1013	bec9e6d4742e21ebe01816aa80c2256e38e18c43f1cd4952da46f377029a4212	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0024	record_manifest_pending_created_file	1014	1020	43847e403aa2f0304e2ce47d624ac39b910e2e0a6a284b5c3db571206a4b681b	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0025	record_manifest_created_file	1021	1027	b690b04dc54a26ec6af344c2dce50de4be9137d9985528db9841869917a55e95	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0026	prepare_created_file_transaction	1028	1045	b5170479dcb5e09f06798c67edce8cd640ae51c848fc32d51a4cc19ebbc54763	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0027	record_manifest_apply_report	1046	1073	bc8d6d1ea87acbc0e9616a7118ea4721a3cd0bd5f4e352e0fb2a2da7bc134c56	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0028	record_manifest_irreversible_change	1074	1102	a64c3e7ae5a316e277cd5e00a4a5c081e7ab8bed06d16a594f30ae1cd12ead17	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0029	record_manifest_installed_package	1103	1159	3caf0f23d8eb71469215ba6c6fbd4ae655e4d2ec814513df3932324ac548f625	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0030	record_manifest_pending_package_transaction	1160	1252	21b6aa7bfbc84bab96f6467859ac6baab9058d832a9d3aa39e7d74f61ae8859b	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0031	commit_manifest_package_transaction	1253	1395	c48f5dc74361eccd17e85acded380b836f866bfcbc49ddc8224c5a165735c964	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0032	record_manifest_module_restore_required	1396	1460	60cbfbc45201b47dac79067a6fd5e336709e52c19ef3e3666acdccd3cbc2b4c4	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0033	record_manifest_firewall_state	1461	1557	3bcb8137e22d0a21913203ee3faaf2d4d6a5b6de5b892c41e0e246fa4339c650	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0034	restore_manifest_firewall_state	1558	1634	f10bdbeb1183f802c12a80c0953991557359cc7362d3dd0229f7de56dafb7a9f	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0035	record_manifest_empty_password_state	1635	1699	c984565cb69ab8391087e80003e752e4d27fe41f88df88a6a84e1ab27038e4fa	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0036	remove_manifest_empty_password_state	1700	1753	a22015651406be86f17e1cd377e3ae3539a82e8f285c1996457597ced51e7c17	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0037	restore_manifest_empty_password_state	1754	1836	21a8aaf9dfa6a28e3b963b737ca4e4027c3f0c07b5e02dd4871bcc470845afdf	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0038	restore_manifest_module_restore_required	1837	1901	0d0a5c7f0e5c1ad8ab16dc6e9234fd83e6495fea853ff7d8bffe4fd5d2299c09	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0039	restore_manifest_has_backup_for	1902	1912	85f60ef655a5ec42cbb3e3fb762691c7215ce1808127f0c3c099b4f377719a08	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0040	restore_fstab_module_if_required	1913	1973	50ebcf26009d43cc5436825b76bc2bd5c43eae0446692fc5bfa94e6e498d2b66	evidence-only	named as source_function in RAW-EVIDENCE.tsv only
FUNC-0041	snapshot_installed_packages	1974	2008	3efa8c3852e698eee6e22d74826a9adc6f18d376b6f19f4429a9e63f5b9e8c8d	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0042	record_newly_installed_packages	2009	2059	fdd9ebc9779a55b1e6245148c58990d86088f235c785684432531a992faa6a16	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0043	install_packages_transactionally	2060	2103	194d3e4af17b4bd644f0421a377767d1081dc0d99b5a551bcb7d44b42b11ad32	evidence-only	named as source_function in RAW-EVIDENCE.tsv only
FUNC-0044	collect_manifest_package_candidates	2104	2239	41159ea97bdbd5066ae6cb14b3eeee64e7da18eb619ff84cae48f0365b19601a	evidence-only	named as source_function in RAW-EVIDENCE.tsv only
FUNC-0045	restore_installed_packages	2240	2294	5f5d3f1a657ee6a643072a7d4efb3d7042334aff3381a36ea6c19661bbfb5028	contracted	named as evidence_function in ENGINEERING-CONTRACTS.tsv
FUNC-0046	report_installed_packages_for_manual_restore	2295	2331	3259155869916177e8b7d331a1ae509e81da0bfee736908aa7a58f77a7f3a0d1	evidence-only	named as source_function in RAW-EVIDENCE.tsv only
FUNC-0047	runtime_paths_scan	2332	2375	7f13cd4d8c0a7eb0a2dea9d22483a1d7931cd3a0a8a7364a880081f0698b77b5	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0048	check_runtime_paths_module	2376	2463	9dc8c138b6f375e4fe9cb369787418255df2fe7be20c2accc440bd971a59a17f	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0049	check_sudo_command_paths_module	2464	2538	b26960c7c2d343451432beb013d0a2d7d8d0d8587729c62bc1451bb01eba1123	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0050	apply_runtime_paths_module	2539	2619	63257b0b4d0359df4d15788a772b6bcb8b50dd0ee70ec43bb70453d54bd429c1	candidate	named as source_function in SEMANTIC-CANDIDATES.tsv
FUNC-0051	record_sudo_command_check_results	2620	2630	0509407ade1610b240c98bd3ba0bb2bfc6bc5cf75b732db3fea07f3c2e6843f5	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0052	sysctl_kernel_check_module	2631	2671	7945524105ffee7fc5f62f0181250969ecc4e55d9fb7502f007133093bd57e68	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0053	record_sysctl_kernel_check_results	2672	2682	8efa32f38e5e0460bbdb40314b14fcb7f52e3d35972a74a90c1c9e202158821d	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0054	grub_kernel_params_check_module	2683	2722	a35a129f531149d08d99c31bb10e9000838a05fe6e2c96a757a3c0d528d8ed71	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0055	record_grub_kernel_params_check_results	2723	2733	3feed969c400e26a1ce007e2e5af12b9c0d1f670950260e5c9734fe5bfa7745e	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0056	sysctl_attack_surface_check_module	2734	2816	eb29b9e8d966556339f30ba402f4800231aa3c272fac1d5f2b3dd2205ecd1bc6	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0057	record_sysctl_attack_surface_check_results	2817	2827	65f963e50f1ca9f90ce50cd82b2e510c0d41640b1be6a442bb9ec3de552de3af	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0058	sysctl_userspace_protection_check_module	2828	2878	bbf81526e8381832945d8e98a8568da01ddd36f8cb68645b204874f6a8a9ce01	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0059	record_sysctl_userspace_protection_check_results	2879	2889	cd455bc784f15e4d96e19711411f6399d81c94c511e1cc2c94b4c976f9fc3ee1	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0060	home_targets_scan	2890	2902	5819edfea387c7e09e482f9d77f275db572a668b7cd9e0d45bd21574714704dd	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0061	check_home_permissions_module	2903	2960	e5ecb5af99bde99d6b1942b730d48c0112dff6e40c8a5352f1ee0f44ff132750	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0062	record_home_permissions_check_results	2961	2971	bb5fb94cfb2ed1908121592c5ee44f66424c9cfa73fa64e4876dcfd0ca9c10fe	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0063	check_user_cron_permissions_module	2972	3008	e761fd0d7931f9bd82a8a1b81cdf9beac7f7e3237a6bf050086882e579e8330f	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0064	record_user_cron_permissions_check_results	3009	3019	24a991876df88e27b804045f941bd752a6513c2ca23426a901f169cc7bf22c7e	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0065	check_cron_command_paths_module	3020	3098	b306dfa9e474121ba2a5f10a16cbfb6dcbf66683116179cfe7cc21c11a1d3e1b	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0066	record_cron_command_paths_check_results	3099	3109	903bf95ce32124510353c37e0605435964794aa9c36a696e7b7b6d8ead29a80d	pending-review	not yet reviewed for a v3 invariant; absence of a contract is NOT a decision that none is needed
FUNC-0067	apply_cron_command_paths_module	3110	3190	736392898a0caa97db3fdba5c1f665bce55f1c0c884580f9f0c228bbfdc6541d	candidate	named as source_function in SEMANTIC-CANDIDATES.tsv
