candidate_id	source_sha256	category	probe_kind_candidate	module	source_function	source_line	locator	key	expected	expected_semantics	condition	extraction_status	note
SCRIPT-0001	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_KERNEL_CONTENT	TOPLEVEL	110	/etc/sysctl.d/60-securelinux-ng-kernel.conf	kernel.dmesg_restrict	1	eq		resolved_candidate	source_var=SYSCTL_KERNEL_CONTENT
SCRIPT-0002	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_KERNEL_CONTENT	TOPLEVEL	110	/etc/sysctl.d/60-securelinux-ng-kernel.conf	kernel.kptr_restrict	2	eq		resolved_candidate	source_var=SYSCTL_KERNEL_CONTENT
SCRIPT-0003	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_KERNEL_CONTENT	TOPLEVEL	110	/etc/sysctl.d/60-securelinux-ng-kernel.conf	net.core.bpf_jit_harden	2	eq		resolved_candidate	source_var=SYSCTL_KERNEL_CONTENT
SCRIPT-0004	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	kernel.perf_event_paranoid	3	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0005	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	kernel.kexec_load_disabled	1	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0006	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	kernel.unprivileged_bpf_disabled	1	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0007	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	vm.unprivileged_userfaultfd	0	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0008	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	dev.tty.ldisc_autoload	0	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0009	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	vm.mmap_min_addr	4096	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
SCRIPT-0010	f3be8723cd5a2be499e9e8e6370fad712bdec8afd68050f27af6a3e2d6fbc34b	sysctl	sysctl	SYSCTL_ATTACK_SURFACE_CONTENT	TOPLEVEL	113	/etc/sysctl.d/61-securelinux-ng-attack-surface.conf	kernel.randomize_va_space	2	eq		resolved_candidate	source_var=SYSCTL_ATTACK_SURFACE_CONTENT
