index_id	coverage_mode	expected_control_ids	basis
SRC-0005	exact-control-set	FSTEC-LINUX-2022-2.3.1-GROUP-MODE,FSTEC-LINUX-2022-2.3.1-PASSWD-MODE,FSTEC-LINUX-2022-2.3.1-SHADOW-GO-RWX	Full-clause review: three independently observable file-mode requirements represent chmod 644 /etc/passwd, chmod 644 /etc/group and chmod go-rwx /etc/shadow; shadow is not strengthened to 0600.
SRC-0016	atomic-single	FSTEC-LINUX-2022-2.4.1-DMESG-RESTRICT	Full-clause review: one independently observable sysctl parameter.
SRC-0017	atomic-single	FSTEC-LINUX-2022-2.4.2-KPTR-RESTRICT	Full-clause review: one independently observable sysctl parameter.
SRC-0023	atomic-single	FSTEC-LINUX-2022-2.4.8-BPF-JIT-HARDEN	Full-clause review: one independently observable sysctl parameter.
SRC-0025	atomic-single	FSTEC-LINUX-2022-2.5.2-PERF-EVENT-PARANOID	Full-clause review: one independently observable sysctl parameter.
SRC-0027	atomic-single	FSTEC-LINUX-2022-2.5.4-KEXEC-LOAD-DISABLED	Full-clause review: one independently observable sysctl parameter.
SRC-0028	atomic-single	FSTEC-LINUX-2022-2.5.5-MAX-USER-NAMESPACES	Full-clause review: one independently observable sysctl parameter; remaining sentences are advisory compatibility notes, not separate requirements.
SRC-0029	atomic-single	FSTEC-LINUX-2022-2.5.6-UNPRIVILEGED-BPF-DISABLED	Full-clause review: one independently observable sysctl parameter; remaining sentences are advisory compatibility notes, not separate requirements.
SRC-0030	atomic-single	FSTEC-LINUX-2022-2.5.7-UNPRIVILEGED-USERFAULTFD	Full-clause review: one independently observable sysctl parameter.
SRC-0031	atomic-single	FSTEC-LINUX-2022-2.5.8-LDISC-AUTOLOAD	Full-clause review: one independently observable sysctl parameter.
SRC-0035	atomic-single	FSTEC-LINUX-2022-2.6.1-PTRACE-SCOPE	Full-clause review: one independently observable sysctl parameter.
SRC-0036	atomic-single	FSTEC-LINUX-2022-2.6.2-PROTECTED-SYMLINKS	Full-clause review: one independently observable sysctl parameter; the remaining sentence is rationale, not a separate runtime requirement.
SRC-0037	atomic-single	FSTEC-LINUX-2022-2.6.3-PROTECTED-HARDLINKS	Full-clause review: one independently observable sysctl parameter; the remaining sentence is rationale, not a separate runtime requirement.
SRC-0038	atomic-single	FSTEC-LINUX-2022-2.6.4-PROTECTED-FIFOS	Full-clause review: one independently observable sysctl parameter; the remaining sentence is rationale, not a separate runtime requirement.
SRC-0039	atomic-single	FSTEC-LINUX-2022-2.6.5-PROTECTED-REGULAR	Full-clause review: one independently observable sysctl parameter; the remaining sentence is rationale, not a separate runtime requirement.
