index_id	source_id	source_file	source_sha256	source_role	unit_kind	locator	raw_match_line	text_quality	quote_anchor_ready	status	disposition	reason	note
SRC-0001	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.1.1	101	recovered-glyph-map-v1	YES	CLOSED			Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single local-account-password-state control v2. Local account population comes from /etc/passwd and password/lock state from /etc/shadow; empty password field is FAIL. Missing, duplicate, malformed, NUL- or CR-bearing passwd/shadow input fails closed as ERROR.
SRC-0002	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.1.2	110	recovered-glyph-map-v1	YES	CLOSED			Gate-1 quote block lifted by glyph-ID recovery v1 (RECOVERY-MANIFEST.tsv). | Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single FSTEC-LINUX-2022-2.1.2-SSH-ROOT-LOGIN: source-exact PermitRootLogin=no in main /etc/ssh/sshd_config plus read-only sshd syntax/effective-config validation; Include/duplicate/Match ambiguity fails closed.
SRC-0003	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.2.1	117	recovered-glyph-map-v1	YES	CLOSED			Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single pam-wheel-access v2: source-exact auth required pam_wheel.so use_uid, one local wheel record with literal GID 10, root mandatory and additional members exactly bound to /etc/securelinux-policy/wheel-users.allowlist-v1. Leading '-' on PAM type is normalized for stack-semantics analysis; group password field is not a source predicate.
SRC-0004	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.2.2	122	recovered-glyph-map-v1	YES	CLOSED			Gate-1 quote block lifted by glyph-ID recovery v1 (RECOVERY-MANIFEST.tsv). | Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single FSTEC-LINUX-2022-2.2.2-SUDOERS-REVIEWED-POLICY: active /etc/sudoers policy tree is validated by visudo and its exact pathset/bytes must match explicit reviewed local authority /etc/securelinux-policy/sudoers-reviewed-policy-v1; approved users/commands are not inferred from groups, environment, donor or VM defaults. Any policy drift is FAIL; authority/closure/visudo ambiguity is ERROR.
SRC-0005	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.1	129	recovered-glyph-map-v1	YES	CLOSED			Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by exact-control-set for regular-file targets /etc/passwd, /etc/group and /etc/shadow. Matching numeric mode on a directory/special object cannot satisfy a file requirement; dereferenced final object must be regular.
SRC-0006	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.2	137	recovered-glyph-map-v1	YES	CLOSED			Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single FSTEC-LINUX-2022-2.3.2-RUNNING-PROCESS-PATHS-WRITE-PROTECTION: dynamic current-process executable/library population is observed from /proc with PID-identity recheck; exact file go-w is checked read-only; parent effective-write semantics require wx, with definite non-root-owner/other wx => FAIL and group-class wx ambiguity => ERROR rather than false FAIL.
SRC-0007	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.3	143	recovered-glyph-map-v1	YES	CLOSED			Gate-1 quote block lifted by glyph-ID recovery v1 (RECOVERY-MANIFEST.tsv). | Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single FSTEC-LINUX-2022-2.3.3-CRON-COMMAND-PATHS-WRITE-PROTECTION: active system/user cron definitions are parsed read-only; every directly resolved command target and executable run-parts member must have group/other write bits clear; unsupported shell/PATH/source ambiguity or snapshot drift is ERROR.
SRC-0008	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.4	149	recovered-glyph-map-v1	YES	CLOSED			Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Exact pinned inline page-furniture token 4 is removed by source boundary handling. Closed by atomic-single FSTEC-LINUX-2022-2.3.4-SUDO-ROOT-COMMAND-FILES-PROTECTION over deterministically applicable reviewed sudoers command targets; ambiguous host/membership/negation scope fails closed. Defaults runas_default is treated as applicability ambiguity (ERROR), not silently assumed root. Command NOTBEFORE/NOTAFTER windows and explicit case_insensitive_user Defaults overrides are applicability-sensitive and fail closed as ERROR.
SRC-0009	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.5	159	recovered-glyph-map-v1	YES	CLOSED			Gate-1 quote block lifted by glyph-ID recovery v1 (RECOVERY-MANIFEST.tsv). | Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt | Closed by atomic-single FSTEC-LINUX-2022-2.3.5-STARTUP-FILES-WRITE-PROTECTION: direct file-like entries in /etc/rc0.d through /etc/rc6.d and direct *.service unit files from systemd unit load paths are checked read-only for other-write bit 0002 clear. Unit-root aliases and regular targets are deduplicated; masked units resolving to /dev/null are markers, while dangling/special/discovery/snapshot ambiguity is ERROR.
SRC-0010	fstec-linux-2022	fstec-linux-2022.pdf	350f00669436b1d505499b41f1f069bde335e5845441f8985209e1844620967d	technical-core	numbered-position	2.3.6	162	recovered-glyph-map-v1	YES	CLOSED			Closed by exact-control-set of six optional system-cron roots. Each root uses source-exact go-wx check as bits-clear 0033; directory population is root + direct regular files, while nested directories/symlinks/special entries or incomplete traversal fail closed as ERROR. Missing listed root is allowed by source. | Quote-anchor text source: sources/recovered-v1/norm-v1/fstec-linux-2022.txt
