font_family	glyph_id	unicode	character	method	occurrences_in_recovered_docs	reference_occurrences	reference_pdfs	note
calibri	707	U+0422	Т	manual-pinned-page	1	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	780	U+0430	а	manual-pinned-page	2	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	781	U+0431	б	manual-pinned-page	1	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	795	U+0438	и	manual-pinned-page	1	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	803	U+043B	л	manual-pinned-page	1	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	822	U+0446	ц	manual-pinned-page	1	0		"Pinned visual exception: fstec-vulnerability-analysis-2025.pdf page 21, heading ""Таблица 3""."
calibri	1007	U+0033	3	cross-document-glyph-id	1	1	fstec-methodology-2026-04-12.pdf	
times-bold	570	U+0410	А	cross-document-glyph-id	15	90	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	571	U+0411	Б	cross-document-glyph-id	3	33	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	572	U+0412	В	cross-document-glyph-id	4	71	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	574	U+0414	Д	cross-document-glyph-id	5	41	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	575	U+0415	Е	cross-document-glyph-id	19	77	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	576	U+0416	Ж	cross-document-glyph-id	2	10	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	577	U+0417	З	cross-document-glyph-id	4	130	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
