record_id	source_pdf	source_pdf_sha256	pdf_page	source_locator	effective_from	method	transcription_path
ORDER137-METADATA	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	1	order identity + registration + effective dates	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-001	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-1	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-002	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-2	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-003	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-3	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-004	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-4	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-005	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-5	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-006	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2	application-change-6	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-007	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	2-3	application-change-7	2027-03-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-008	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-8	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-009	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-9	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-010	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-10	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-011	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-11	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-012	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-12	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-013	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-13	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-014	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-14	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-015	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	3	application-change-15	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-016	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	4	application-change-16	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-017	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	4	application-change-17	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
ORDER137-CHANGE-018	fstec-order-137-2026-amendments-to-117.pdf	eea32d569889ed57e9b7081b3a69fd31e44d0422d23349fefa3521427401c61a	4	application-change-18	2026-09-01	manual-visual-page-pinned-v1	fstec-order-137-2026-amendments-to-117.transcription-v1.txt
