edge_type	from_emission_node_id	to_emission_node_id
emit_before	node::engineering-contract::eng-build-info-v1::build_info::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-cli-rc-v1::cli_rc::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-machine-output-format-v1::machine_output_format::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-provenance-query-v1::provenance_query::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-result-aggregation-v1::result_aggregation::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::fstec-control::FSTEC-LINUX-2022-2.4.1-DMESG-RESTRICT::check::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::fstec-control::FSTEC-LINUX-2022-2.4.2-KPTR-RESTRICT::check::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::fstec-control::FSTEC-LINUX-2022-2.4.8-BPF-JIT-HARDEN::check::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::fstec-control::FSTEC-LINUX-2022-2.5.2-PERF-EVENT-PARANOID::check::ubuntu-24.04-x86_64
emit_before	node::engineering-contract::eng-target-preflight-v1::target_preflight::ubuntu-24.04-x86_64	node::fstec-control::FSTEC-LINUX-2022-2.5.4-KEXEC-LOAD-DISABLED::check::ubuntu-24.04-x86_64
emit_before	node::fstec-control::FSTEC-LINUX-2022-2.4.1-DMESG-RESTRICT::check::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::fstec-control::FSTEC-LINUX-2022-2.4.2-KPTR-RESTRICT::check::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::fstec-control::FSTEC-LINUX-2022-2.4.8-BPF-JIT-HARDEN::check::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::fstec-control::FSTEC-LINUX-2022-2.5.2-PERF-EVENT-PARANOID::check::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
emit_before	node::fstec-control::FSTEC-LINUX-2022-2.5.4-KEXEC-LOAD-DISABLED::check::ubuntu-24.04-x86_64	node::engineering-contract::eng-main-dispatch-v1::main_dispatch::ubuntu-24.04-x86_64
